LAT,LON,SID,USA_WIND,CATEGORY,NSEC_TIME,ISO_TIME
133068,20.086,129.0,1998187N17132,30.0,TD,899877600000000000,1998-07-08 06:00:00
133069,20.254,128.858,1998187N17132,30.0,TD,899888400000000000,1998-07-08 09:00:00
133070,20.45,128.7,1998187N17132,30.0,TD,899899200000000000,1998-07-08 12:00:00
133071,20.632,128.575,1998187N17132,30.0,TD,899910000000000000,1998-07-08 15:00:00
133072,20.8,128.45,1998187N17132,30.0,TD,899920800000000000,1998-07-08 18:00:00
133073,20.958,128.304,1998187N17132,30.0,TD,899931600000000000,1998-07-08 21:00:00
133074,21.1,128.15,1998187N17132,30.0,TD,899942400000000000,1998-07-09 00:00:00
133075,21.221,128.019,1998187N17132,30.0,TD,899953200000000000,1998-07-09 03:00:00
133076,21.35,127.85,1998187N17132,30.0,TD,899964000000000000,1998-07-09 06:00:00
133077,21.514,127.598,1998187N17132,30.0,TD,899974800000000000,1998-07-09 09:00:00
133078,21.7,127.3,1998187N17132,30.0,TD,899985600000000000,1998-07-09 12:00:00
133079,21.885,127.033,1998187N17132,30.0,TD,899996400000000000,1998-07-09 15:00:00
133080,22.1,126.7,1998187N17132,30.0,TD,900007200000000000,1998-07-09 18:00:00
133081,22.36,126.223,1998187N17132,30.0,TD,900018000000000000,1998-07-09 21:00:00
133082,22.65,125.7,1998187N17132,30.0,TD,900028800000000000,1998-07-10 00:00:00
133083,22.935,125.242,1998187N17132,27.0,TD,900039600000000000,1998-07-10 03:00:00
133084,23.25,124.8,1998187N17132,25.0,TD,900050400000000000,1998-07-10 06:00:00
133085,23.628,124.365,1998187N17132,25.0,TD,900061200000000000,1998-07-10 09:00:00
133086,24.0,123.9,1998187N17132,25.0,TD,900072000000000000,1998-07-10 12:00:00
133087,24.297,123.365,1998187N17132,25.0,TD,900082800000000000,1998-07-10 15:00:00
133088,24.55,122.8,1998187N17132,25.0,TD,900093600000000000,1998-07-10 18:00:00
133089,24.78,122.245,1998187N17132,25.0,TD,900104400000000000,1998-07-10 21:00:00
133090,25.0,121.7,1998187N17132,25.0,TD,900115200000000000,1998-07-11 00:00:00
133112,23.187,120.051,1998188N18117,47.0,TS,899996400000000000,1998-07-09 15:00:00
133349,34.5,144.8,1998204N17144,30.0,TD,901411200000000000,1998-07-26 00:00:00
133350,35.39,144.574,1998204N17144,27.0,TD,901422000000000000,1998-07-26 03:00:00
133351,36.2,144.5,1998204N17144,25.0,TD,901432800000000000,1998-07-26 06:00:00
133510,20.125,123.25,1998213N14128,65.0,1,902145600000000000,1998-08-03 12:00:00
133511,20.766,122.866,1998213N14128,72.0,1,902156400000000000,1998-08-03 15:00:00
133512,21.325,122.5,1998213N14128,80.0,1,902167200000000000,1998-08-03 18:00:00
133513,21.747,122.213,1998213N14128,90.0,2,902178000000000000,1998-08-03 21:00:00
133514,22.175,121.925,1998213N14128,100.0,3,902188800000000000,1998-08-04 00:00:00
133515,22.756,121.569,1998213N14128,85.0,2,902199600000000000,1998-08-04 03:00:00
133516,23.4,121.2,1998213N14128,70.0,1,902210400000000000,1998-08-04 06:00:00
133517,24.112,120.666,1998213N14128,65.0,1,902221200000000000,1998-08-04 09:00:00
133518,24.6,120.225,1998213N14128,60.0,TS,902232000000000000,1998-08-04 12:00:00
133961,20.057,129.715,1998235N17131,35.0,TS,903884400000000000,1998-08-23 15:00:00
